,input_queries
1246,scan representative
1247,scan representative
1248,scan representative
1249,scan document_types
1250,scan document_types
1251,scan staff
1252,join lessons.staff_id-staff.staff_id scan lessons.lesson_status_code
1253,join lessons.staff_id-staff.staff_id join lessons.lesson_status_code-staff.staff_name
1254,scan manager
1255,scan manager
1256,scan manager
1257,scan manager
1258,scan manager
1259,scan manager
1260,scan customers
1261,join enroll.stu_num-student.stuid join enroll.class_code-class.class_code
1262,join enroll.stu_num-student.stuid join enroll.class_code-class.class_code scan class.crs_code
1263,join enroll.stu_num-student.stuid join enroll.class_code-class.class_code scan class.crs_code
1264,scan employee
1265,scan employee
1266,scan employee
1267,scan employee
1268,scan campuses
1269,scan campuses
1270,scan campuses
1271,scan weather group by zip_code having avg ( mean_humidity )   <  70 intersect select zip_code
1272,scan trip group by zip_code scan end_station_name having count ( * )    >=    100 order by count ( * )  asc limit 1
1273,scan weather
1274,scan airport
1275,scan airport
1276,scan airport
1277,scan airport
1278,join student_addresses.student_id-student_addresses.student_id
1279,join student_addresses.student_id-student_addresses.student_id
1280,join student_addresses.student_id-student_addresses.student_id
1281,join accelerator_compatible_browser.accelerator_id-web_client_accelerator.id join accelerator_compatible_browser.browser_id-browser.id scan web_client_accelerator.name
1282,join accelerator_compatible_browser.accelerator_id-web_client_accelerator.id join accelerator_compatible_browser.browser_id-browser.id scan web_client_accelerator.name
1283,join accelerator_compatible_browser.accelerator_id-web_client_accelerator.id join accelerator_compatible_browser.browser_id-browser.id scan web_client_accelerator.name
1284,scan t1 scan t2
1285,join maintenance_engineers.engineer_id-maintenance_engineers.engineer_id
1286,scan t1 scan t2
1287,scan journalist
1288,scan journalist
1289,scan journalist order by years_working desc limit 1
1290,scan apartments
1291,scan apartment_facilities
1292,scan apartment_facilities
1293,scan apartments
1294,scan apartments
1295,scan shop
1296,scan shop
1297,scan shop
1298,scan shop
1299,scan university
1300,scan university
1301,scan university
1302,scan university
1303,scan university
1304,scan competition group by country order by count ( * )  desc limit 1
1305,scan competition group by year order by count ( * )  desc limit 1
1306,scan competition group by competition_type order by count ( * )  desc limit 1
1307,scan organisation_types
1308,scan grants
1309,join student_course_enrolment.registration_id-student_tests_taken.registration_id scan student_tests_taken.test_result
1310,join student_course_enrolment.registration_id-student_tests_taken.registration_id scan student_tests_taken.test_result
1311,join student_course_enrolment.registration_id-student_tests_taken.registration_id scan student_tests_taken.test_result
1312,scan city
1313,scan musical group by nominee having count ( * )   >  1
1314,scan musical
1315,scan musical
1316,scan member
1317,scan member
1318,scan member
1319,scan member
1320,scan t1 scan t2
1321,scan airport
1322,scan operate_company
1323,scan airport
1324,scan customer_orders
1325,scan customer_orders
1326,scan membership_register_branch
1327,scan branch
1328,scan branch
1329,scan playlists
1330,join tracks.id-playlist_tracks.track_id join playlists.id-playlist_tracks.playlist_id scan playlists.name
1331,join tracks.id-playlist_tracks.track_id join playlists.id-playlist_tracks.playlist_id scan playlists.name
1332,scan detention
1333,scan detention
1334,scan teachers.teacher_id
1335,join races.circuitid-circuits.circuitid scan circuits.country
1336,join races.circuitid-circuits.circuitid scan circuits.country scan races.year
1337,join races.circuitid-circuits.circuitid scan races.name
1338,join races.circuitid-circuits.circuitid scan circuits.country
1339,scan payments group by payment_method_code order by count ( * )  desc limit 1
1340,scan payments
1341,scan product_suppliers
1342,scan product_suppliers
1343,scan product_suppliers
1344,join entrepreneur.people_id-people.people_id scan people.name
1345,join entrepreneur.people_id-people.people_id scan people.name
1346,join entrepreneur.people_id-people.people_id scan people.name
1347,scan product_suppliers order by date_supplied_to desc limit 1
1348,scan city order by city asc
1349,scan journalist
1350,join news_report.event_id-event.event_id join news_report.journalist_id-journalist.journalist_id
1351,join news_report.event_id-event.event_id
1352,join news_report.event_id-event.event_id join news_report.journalist_id-journalist.journalist_id
1353,scan journalist
1354,scan book_club
1355,scan culture_company
1356,join culture_company.book_club_id-book_club.book_club_id scan book_club.publisher
1357,join culture_company.book_club_id-book_club.book_club_id scan book_club.publisher
1358,join culture_company.book_club_id-book_club.book_club_id scan culture_company.company_name
1359,scan employee
1360,scan employee
1361,scan class
1362,scan department
1363,scan department
1364,scan department
1365,scan professor
1366,scan products
1367,scan products
1368,scan products
1369,scan student
1370,scan student
1371,join research_outcomes.outcome_code-project_outcomes.outcome_code join project_outcomes.project_id-projects.project_id scan project_outcomes.outcome_code
1372,join research_outcomes.outcome_code-project_outcomes.outcome_code join project_outcomes.project_id-projects.project_id scan project_outcomes.outcome_code
1373,join club.clubid-member_of_club.clubid join member_of_club.stuid-student.stuid scan club.clubname
1374,join club.clubid-member_of_club.clubid join member_of_club.stuid-student.stuid scan club.clubname
1375,join club.clubid-member_of_club.clubid join member_of_club.stuid-student.stuid scan club.clubname
1376,join club.clubid-member_of_club.clubid join member_of_club.stuid-student.stuid scan club.clubname
1377,scan festival_detail
1378,scan festival_detail order by num_of_audience limit 1
1379,scan artwork
1380,join nomination.artwork_id-artwork.artwork_id join nomination.festival_id-festival_detail.festival_id scan festival_detail.year
1381,scan chip_model
1382,scan chip_model
1383,scan chip_model
1384,scan chip_model
1385,scan customers
1386,scan accounts
1387,scan faculty
1388,scan faculty
1389,scan faculty
1390,scan manufacturers
1391,scan manufacturers
1392,scan manufacturers
1393,scan manufacturers
1394,scan campuses
1395,scan campuses
1396,scan campuses
1397,scan circuits
1398,join races.circuitid-circuits.circuitid scan races.year
1399,join races.circuitid-circuits.circuitid scan circuits.country scan races.year
1400,scan staff_department_assignments
1401,scan staff_department_assignments group by department_id order by count ( * )  limit 1
1402,scan staff_department_assignments group by department_id order by count ( * )
1403,scan t1 scan t2
1404,join editor.editor_id-journal_committee.editor_id scan editor.name
1405,scan t1 scan t2
1406,join addresses.address_id-student_addresses.address_id
1407,join addresses.address_id-student_addresses.address_id scan addresses.state_province_county
1408,join addresses.address_id-student_addresses.address_id scan addresses.state_province_county
1409,scan employees
1410,scan employees
1411,scan customers_cards
1412,scan film
1413,scan film
1414,scan rooms
1415,scan rooms
1416,scan rooms
1417,scan rooms
1418,scan rooms
1419,scan student
1420,scan student except select stuid
1421,scan institution group by type
1422,scan institution group by type
1423,scan institution
1424,scan employee
1425,scan employee order by salary desc  limit 1
1426,scan song
1427,scan song
1428,scan camera_lens
1429,scan camera_lens
1430,scan camera_lens
1431,scan personfriend
1432,scan bridge
1433,scan bridge
1434,scan bridge
1435,scan bridge
1436,scan film
1437,scan film
1438,scan film
1439,scan tourist_attractions
1440,scan tourist_attractions
1441,scan tourist_attractions
1442,scan tourist_attractions
1443,scan tourist_attractions
1444,scan faculty
1445,scan student
1446,scan student
1447,scan student
1448,scan faculty
1449,join faculty.facid-faculty_participates_in.facid join faculty_participates_in.actid-activity.actid
1450,join staff_roles.role_code-project_staff.role_code
1451,scan project_staff
1452,scan project_outcomes
1453,join body_builder.people_id-people.people_id
1454,join body_builder.people_id-people.people_id scan people.birth_date
1455,scan people
1456,scan airports
1457,scan instructor
1458,scan instructor
1459,scan instructor
1460,scan course_authors_and_tutors
1461,scan train order by time desc limit 1
1462,scan physician
1463,scan physician
1464,join county.county_id-election.district scan county.population
1465,scan county
1466,scan county
1467,scan county
1468,join county.county_id-election.district scan county.population
1469,join county.county_id-election.district scan county.population scan county.population
1470,scan files
1471,scan files
1472,scan song
1473,scan airports group by city having count ( * )    =   2
1474,scan ref_colors
1475,scan products
1476,scan member
1477,scan member
1478,scan member
1479,scan member
1480,scan student
1481,scan student group by advisor having count ( * )  < 2
1482,scan student group by advisor having count ( * )    >=    2
1483,scan festival_detail group by year order by count ( * )  desc limit 1
1484,scan festival_detail group by year having year  =  2008
1485,scan festival_detail
1486,scan personfriend
1487,scan personfriend
1488,scan products
1489,scan products
1490,scan products
1491,scan companies
1492,scan buildings
1493,scan actor
1494,scan city
1495,scan city
1496,scan county_public_safety
1497,scan county_public_safety
1498,scan people
1499,join drivers.driverid-drivers.surname
1500,scan t1 scan t2
1501,scan t1 scan t2
1502,scan t1 scan t2
1503,join drivers.driverid-results.driverid scan drivers.surname
1504,join drivers.driverid-results.driverid scan drivers.surname scan results.rank
1505,scan addresses
1506,scan student_addresses
1507,scan student_addresses
1508,scan tracks
1509,scan playlists
1510,scan tracks
1511,scan procedures order by cost desc limit 1
1512,scan procedures order by cost asc limit 1
1513,scan procedures
1514,join organizations.organization_id-organization_contact_individuals.organization_id join organization_contact_individuals.individual_id-individuals.individual_id scan organizations.organization_name
1515,join organizations.organization_id-organization_contact_individuals.organization_id join organization_contact_individuals.individual_id-individuals.individual_id scan organizations.organization_name
1516,join organizations.organization_id-organization_contact_individuals.organization_id join organization_contact_individuals.individual_id-individuals.individual_id scan organizations.organization_name
1517,scan airlines
1518,scan photos
1519,scan photos
1520,scan photos
1521,join photos.tourist_attraction_id-tourist_attractions.tourist_attraction_id scan photos.name
1522,scan web_client_accelerator
1523,scan web_client_accelerator
1524,scan web_client_accelerator
1525,scan web_client_accelerator
1526,scan catalogs
1527,scan catalogs group by catalog_publisher order by count ( * )  desc
1528,scan catalogs group by catalog_publisher order by count ( * )  desc
1529,scan companies
1530,scan companies
1531,scan companies
1532,scan companies order by assets_billion desc limit 1
1533,scan companies
1534,join debate_people.affirmative-people.name
1535,scan debate_people
1536,scan research_staff
1537,scan candidate order by oppose_rate limit 1
1538,scan candidate order by oppose_rate limit 1
1539,scan candidate order by oppose_rate limit 1
1540,join claim_headers.claim_header_id-claims_documents.claim_id scan claims_documents.document_type_code
1541,join claim_headers.claim_header_id-claims_documents.claim_id scan claims_documents.document_type_code
1542,join claim_headers.claim_header_id-claims_documents.claim_id scan claims_documents.created_date
1543,join claim_headers.claim_header_id-claims_documents.claim_id scan claims_documents.created_date
1544,scan manufacturers
1545,scan manufacturers
1546,scan manufacturers
1547,scan manufacturers
1548,scan manufacturers
1549,scan manufacturers
1550,scan musical
1551,scan musical
1552,scan musical
1553,scan faculty
1554,scan faculty
1555,scan faculty
1556,scan film_actor
1557,scan ship
1558,scan ship
1559,scan ship order by  tonnage desc limit 1
1560,scan skills
1561,scan skills_required_to_fix
1562,scan skills
1563,scan t1 scan t2
1564,scan player
1565,scan player
1566,scan instructor
1567,scan instructor
1568,scan instructor
1569,scan instructor
1570,scan candidate
1571,scan candidate
1572,scan candidate
1573,scan candidate
1574,scan candidate
1575,scan dorm order by student_capacity desc limit 1
1576,join lives_in.dormid-dorm.dormid scan dorm.student_capacity
1577,join student.stuid-lives_in.stuid join dorm.dormid-lives_in.dormid scan dorm.student_capacity
1578,scan team
1579,scan architect
1580,scan architect
1581,scan architect
1582,scan architect
1583,scan t1 scan t2
1584,scan accelerator_compatible_browser
1585,scan web_client_accelerator
1586,scan web_client_accelerator
1587,scan customers
1588,scan policies
1589,scan city order by regional_population desc limit 1
1590,scan city order by regional_population desc limit 1
1591,scan city
1592,scan player_coach
1593,scan coach
1594,scan staff_department_assignments
1595,scan staff_department_assignments group by department_id order by count ( * )
1596,scan staff_department_assignments group by department_id order by count ( * )  limit 1
1597,scan ship
1598,scan staff
1599,scan loan
1600,scan apartment_buildings
1601,join apartment_buildings.building_id-apartments.building_id scan apartments.bedroom_count
1602,join apartment_buildings.building_id-apartments.building_id scan apartments.bathroom_count
1603,scan perpetrator
1604,scan perpetrator
1605,scan perpetrator
1606,scan perpetrator
1607,scan manufacturers
1608,scan products
1609,join orders.order_id-order_items.order_id
1610,join orders.order_id-order_items.order_id
1611,join orders.order_id-order_items.order_id scan orders.date_order_placed scan orders.date_order_placed
1612,scan physician
1613,scan t1 scan t2
1614,scan t1 scan t2
1615,scan participants
1616,scan participants
1617,scan participants group by participant_type_code order by count ( * )  desc limit 1
1618,scan participants
1619,scan student
1620,scan student
1621,scan student
1622,scan student
1623,scan student
1624,scan student
1625,scan user_profiles order by followers desc limit 5
1626,scan user_profiles
1627,scan user_profiles order by followers desc limit 1
1628,scan user_profiles
1629,scan user_profiles
1630,scan claims_processing_stages
1631,scan claims_processing
1632,scan claims_processing_stages
1633,scan entrepreneur
1634,scan entrepreneur order by money_requested desc limit 1
1635,scan entrepreneur order by money_requested desc limit 1
1636,scan class
1637,scan class
1638,scan manufacturers
1639,scan manufacturers
1640,scan manufacturers
1641,join sportsinfo.stuid-student.stuid scan student.fname scan student.lname
1642,join sportsinfo.stuid-student.stuid scan student.fname scan student.lname
1643,scan student
1644,scan sportsinfo group by stuid order by sum ( hoursperweek )  desc limit 1
1645,scan university
1646,scan university
1647,scan university
1648,scan match_season
1649,scan match_season
1650,scan match_season
1651,scan match_season
1652,scan employees
1653,scan candidate order by support_rate desc limit 3
1654,scan candidate order by support_rate desc limit 3
1655,scan candidate order by date desc limit 1
1656,join country.country_id-roller_coaster.country_id
1657,scan t1 scan t2
1658,scan t1 scan t2
1659,join country.country_id-roller_coaster.country_id scan country.name
1660,scan student_addresses
1661,scan student_addresses order by monthly_rental desc limit 1
1662,scan t1 scan t2
1663,join lives_in.dormid-dorm.dormid join student.stuid-lives_in.stuid scan student.lname
1664,join dorm.dormid-has_amenity.dormid join has_amenity.amenid-dorm_amenity.amenid join lives_in.dormid-dorm.dormid join student.stuid-lives_in.stuid scan student.lname
1665,join dorm.dormid-has_amenity.dormid join has_amenity.amenid-dorm_amenity.amenid join lives_in.dormid-dorm.dormid join student.stuid-lives_in.stuid scan student.lname
1666,join dorm.dormid-has_amenity.dormid join has_amenity.amenid-dorm_amenity.amenid join lives_in.dormid-dorm.dormid join student.stuid-lives_in.stuid scan student.age
1667,join dorm.dormid-has_amenity.dormid join has_amenity.amenid-dorm_amenity.amenid join lives_in.dormid-dorm.dormid join student.stuid-lives_in.stuid scan student.sex
1668,join dorm.dormid-has_amenity.dormid join has_amenity.amenid-dorm_amenity.amenid scan dorm.student_capacity
1669,scan student_course_registrations
1670,join student_course_registrations.student_id-student_course_attendance.course_id
1671,scan manufacturers
1672,scan manufacturers
1673,scan manufacturers
1674,scan manufacturers
1675,scan t1 scan t2
1676,scan t1 scan t2
1677,scan t1 scan t2
1678,scan course
1679,scan customers
1680,scan customers
1681,scan t1 scan t2
1682,scan procedures
1683,join physician.employeeid-trained_in.physician join procedures.code-trained_in.treatment scan physician.name
1684,join physician.employeeid-trained_in.physician join procedures.code-trained_in.treatment scan physician.name
1685,scan stadium
1686,scan engineer_visits
1687,scan engineer_visits
1688,scan engineer_visits
1689,scan city
1690,scan city
1691,scan city
1692,scan apartments order by room_count desc limit 1
1693,scan apartments order by room_count  limit 1
1694,scan apartments
1695,scan allergy_type
1696,scan allergy_type
1697,scan allergy_type
1698,join has_allergy.allergy-allergy_type.allergy scan allergy_type.allergytype
1699,scan buildings order by height desc limit 1
1700,scan buildings
1701,scan buildings order by height desc limit 1
1702,scan student.city_code
1703,scan voting_record.election_cycle
1704,scan voting_record.election_cycle
1705,scan student
1706,scan student
1707,join club.clubid-member_of_club.clubid join member_of_club.stuid-student.stuid join student.major-club.clubname
1708,join club.clubid-member_of_club.clubid join member_of_club.stuid-student.stuid scan student.major
1709,scan apartments
1710,scan apartments
1711,scan apartments
1712,scan apartments
1713,scan apartments
1714,join physician.employeeid-prescribes.physician join medication.code-prescribes.medication scan medication.brand
1715,join physician.employeeid-prescribes.physician join medication.code-prescribes.medication scan medication.brand
1716,join physician.employeeid-prescribes.physician join medication.code-prescribes.medication scan medication.brand
1717,scan technician
1718,join repair_assignment.machine_id-machine.machine_id join repair_assignment.technician_id-technician.technician_id
1719,scan operate_company
1720,scan operate_company
1721,scan ref_colors
1722,scan ref_product_categories whereproduct_category_code = 'herbs' or product_category_code = 'spices'
1723,scan products
1724,join apartment_bookings.apt_id-apartments.apt_id scan apartment_bookings.booking_status_code
1725,join apartment_bookings.apt_id-apartments.apt_id scan apartment_bookings.booking_status_code
1726,join apartment_bookings.apt_id-apartments.apt_id scan apartment_bookings.booking_status_code
1727,scan student group by sex
1728,join campuses.id-degrees.campus scan campuses.campus
1729,join campuses.id-degrees.campus scan campuses.campus scan degrees.year
1730,scan department
1731,join department.dept_code-course.dept_code scan department.dept_code
1732,join department.dept_code-course.dept_code scan department.dept_code
1733,scan student
1734,scan student
1735,scan student
1736,scan employees
1737,scan employees group by role_code order by count ( * )  desc limit 1
1738,scan employees
1739,scan people except select t1.name scan t1.birth_date
1740,scan people except select t1.name scan t1.birth_place
1741,scan submission
1742,scan submission
1743,scan student
1744,scan student group  by  city_code
1745,scan student group  by  city_code having count ( * ) >1
1746,scan instructor
1747,scan instructor
1748,scan instructor
1749,scan instructor
1750,scan apartments
1751,scan apartments
1752,scan apartments group by apt_type_code
1753,scan apartments group by apt_type_code
1754,scan apartments group by apt_type_code order by count ( * )  desc limit 1
1755,scan services
1756,scan services
1757,scan organizations
1758,scan files
1759,scan files
1760,scan files
1761,scan files
1762,scan tryout
1763,join accounts.custid-checking.custid scan checking.balance
1764,scan has_allergy
1765,scan has_allergy
1766,scan has_allergy group by stuid having count ( * )   >=   2
1767,scan member
1768,scan member
1769,scan member
1770,scan member
1771,scan member
1772,scan employee
1773,scan player
1774,scan classroom
1775,scan classroom group by building
1776,scan classroom order by capacity desc limit 1
1777,scan classroom order by capacity limit 1
1778,scan classroom group by building
1779,scan branch
1780,scan branch  group by city
1781,scan employees
1782,scan employees
1783,scan employees
1784,scan church
1785,scan church
1786,scan church
1787,scan church
1788,scan church
1789,scan church group by open_date having count ( * )    >=    2
1790,scan school
1791,scan school
1792,scan school
1793,scan school
1794,scan school
1795,scan timed_status_of_things
1796,scan timed_status_of_things
1797,join timed_status_of_things.thing_id-things.thing_id scan timed_status_of_things.status_of_thing_code scan timed_status_of_things.date_and_date
1798,scan things
1799,scan grants
1800,scan grants
1801,scan match_season group by college having count ( * )    =   2
1802,scan match_season
1803,scan match_season
1804,scan match_season
1805,scan match_season
1806,join addresses.address_id-stores.address_id scan stores.store_name
1807,scan stores
1808,join apartment_bookings.apt_id-apartments.apt_id scan apartments.bedroom_count
1809,join apartment_bookings.apt_id-apartments.apt_id scan apartments.apt_number
1810,join apartment_bookings.apt_id-apartments.apt_id scan apartments.building_id
1811,join apartment_bookings.apt_id-apartments.apt_id scan apartments.bedroom_count
1812,scan enzyme
1813,join medicine_enzyme_interaction.medicine_id-medicine.id join medicine_enzyme_interaction.enzyme_id-enzyme.id scan medicine.name scan enzyme.location
1814,join medicine_enzyme_interaction.enzyme_id-enzyme.id scan enzyme.name
1815,join exhibition_record.exhibition_id-exhibition.exhibition_id scan exhibition_record.attendance
1816,join exhibition_record.exhibition_id-exhibition.exhibition_id scan exhibition.ticket_price
1817,join exhibition_record.exhibition_id-exhibition.exhibition_id scan exhibition_record.attendance
1818,scan exhibition order by year desc limit 1
1819,scan exhibition order by year desc limit 1
1820,scan shops
1821,scan shops
1822,join shops.shop_id-tourist_attractions.tourist_attraction_id scan tourist_attractions.how_to_get_there
1823,join shops.shop_id-tourist_attractions.tourist_attraction_id scan tourist_attractions.how_to_get_there
1824,join shops.shop_id-tourist_attractions.tourist_attraction_id scan tourist_attractions.how_to_get_there
1825,join plays_games.gameid-video_games.gtype
1826,scan branch
1827,scan rooms
1828,scan rooms order by baseprice desc limit 3
1829,scan rooms order by baseprice desc limit 3
1830,scan school_bus
1831,scan school_bus
1832,scan t1 scan t2
1833,scan film
1834,scan film
1835,scan mountain
1836,scan mountain
1837,scan mountain
1838,scan mountain
1839,scan mountain
1840,scan mountain
1841,scan mountain
1842,scan mountain
1843,scan personfriend
1844,scan list
1845,scan financial_transactions
1846,scan financial_transactions
1847,scan financial_transactions group by account_id order by count ( * )  desc limit 1
1848,scan customers
1849,scan companies
1850,scan student
1851,scan student
1852,scan student
1853,scan student group by major order by count ( major )  asc limit 1
1854,join dorm.dormid-has_amenity.dormid join has_amenity.amenid-dorm_amenity.amenid scan dorm.dorm_name
1855,scan dorm
1856,scan products
1857,scan t1 scan t2
1858,scan instructor
1859,join artist.artist_name-song.artist_name scan song.languages scan artist.preferred_genre
1860,scan artist
1861,scan artist
1862,join staff.staff_id-staff_department_assignments.staff_id scan staff_department_assignments.job_title_code
1863,scan customers
1864,join enzyme.id-medicine_enzyme_interaction.enzyme_id join medicine_enzyme_interaction.medicine_id-medicine.id scan medicine.name
1865,join enzyme.id-medicine_enzyme_interaction.enzyme_id join medicine_enzyme_interaction.medicine_id-medicine.id scan medicine.name scan medicine_enzyme_interaction.interaction_type
1866,join enzyme.id-medicine_enzyme_interaction.enzyme_id join medicine_enzyme_interaction.medicine_id-medicine.id scan medicine_enzyme_interaction.interaction_type
1867,scan grants
1868,scan grants
1869,scan grants
1870,scan grants
1871,scan user_profiles
1872,scan user_profiles
1873,scan user_profiles
1874,scan user_profiles
1875,scan elimination
1876,scan t1 scan t2
1877,scan courses
1878,scan student_course_attendance
1879,join courses.course_id-student_course_attendance.course_id scan student_course_attendance.course_id
1880,scan movie
1881,scan movie
1882,scan movie
1883,scan documents
1884,scan furniture
1885,join furniture.furniture_id-furniture_manufacte.furniture_id scan furniture.name
1886,join furniture.furniture_id-furniture_manufacte.furniture_id scan furniture.name
1887,scan participants_in_events
1888,scan events
1889,scan events
1890,scan schedule
1891,scan schedule
1892,scan film
1893,scan student_course_registrations
1894,scan student_course_attendance
1895,scan student_course_registrations
1896,scan wine
1897,scan wine
1898,scan wine
1899,scan captain
1900,scan manager
1901,scan manager order by age limit 1
1902,scan manager
1903,scan institution
1904,scan institution
1905,scan shop  order by num_of_staff desc  limit  1
1906,join shop.shop_id-happy_hour.shop_id
1907,join shop.shop_id-happy_hour.shop_id
1908,join shop.shop_id-happy_hour.shop_id
1909,scan document_types
1910,scan document_types
1911,scan document_types
1912,scan college
1913,scan t1 scan t2
1914,scan t1 scan t2
1915,scan t1 scan t2
1916,scan race
1917,scan race
1918,scan race
1919,scan train
1920,join music_festival.volume-volume.volume_id scan music_festival.music_festival
1921,join music_festival.volume-volume.volume_id scan volume.song
1922,join music_festival.volume-volume.volume_id scan music_festival.result
1923,scan medicine_enzyme_interaction
1924,join medicine_enzyme_interaction.enzyme_id-enzyme.id scan medicine_enzyme_interaction.interaction_type
1925,join medicine_enzyme_interaction.enzyme_id-enzyme.id scan medicine_enzyme_interaction.interaction_type
1926,scan products
1927,scan claim_headers
1928,scan claim_headers
1929,scan claim_headers
1930,scan claim_headers
1931,scan player
1932,scan player
1933,scan book_club
1934,scan book_club
1935,scan book_club
1936,scan student
1937,scan has_amenity
1938,join has_amenity.amenid-dorm_amenity.amenid scan dorm_amenity.amenity_name
1939,scan mission
1940,join things.thing_id-timed_locations_of_things.thing_id scan things.service_details
1941,scan things
1942,scan things
1943,scan things
1944,scan timed_locations_of_things
1945,scan happy_hour
1946,scan happy_hour
1947,scan happy_hour group by month having count ( * )   >  2
1948,scan visitors
1949,scan visits
1950,scan visitors
1951,scan station
1952,scan station
1953,join class.class_code-enroll.class_code join class.crs_code-course.crs_code join course.dept_code-department.dept_code scan department.dept_name
1954,scan department
1955,scan department
1956,scan shipments
1957,scan shipments order by shipment_date desc limit 1
1958,scan shipments
1959,scan claims
1960,join events.service_id-services.service_id scan services.service_type_code
1961,join events.service_id-services.service_id scan services.service_type_code
1962,join events.service_id-services.service_id scan services.service_type_code
1963,scan trip
1964,scan trip
1965,scan trip
1966,join catalog_contents.catalog_entry_id-catalog_contents_additional_attributes.catalog_entry_id scan catalog_contents_additional_attributes.catalog_level_number
1967,join catalog_contents.catalog_entry_id-catalog_contents_additional_attributes.catalog_entry_id scan catalog_contents_additional_attributes.catalog_level_number
1968,join catalog_contents.catalog_entry_id-catalog_contents_additional_attributes.catalog_entry_id scan catalog_contents_additional_attributes.catalog_level_number
1969,scan district order by city_population desc limit 1
1970,scan department
1971,join employee.emp_num-professor.emp_num scan professor.dept_code
1972,join employee.emp_num-professor.emp_num scan professor.dept_code
1973,join employee.emp_num-professor.emp_num scan professor.dept_code scan professor.prof_high_degree
1974,join sales.sales_transaction_id-transactions.transaction_id scan transactions.amount_of_transaction
1975,scan transactions
1976,scan transactions
1977,join sales.sales_transaction_id-transactions.transaction_id scan transactions.amount_of_transaction
1978,scan faculty
1979,scan faculty
1980,scan faculty
1981,scan faculty
1982,scan faculty
1983,scan student
1984,scan sportsinfo
1985,scan student
1986,scan customers
1987,scan railway
1988,scan railway
1989,scan railway
1990,scan railway
1991,scan railway
1992,scan company
1993,scan company
1994,scan company
1995,scan departments
1996,join employees.department_id-departments.department_id scan departments.department_name
1997,join employees.department_id-departments.department_id scan departments.department_name
1998,join employees.department_id-departments.department_id scan departments.department_name
1999,join plays_games.gameid-video_games.gameid scan video_games.gname
2000,join plays_games.gameid-video_games.gameid scan video_games.gname
2001,scan video_games
2002,scan customer_contact_channels
2003,scan user_profiles
2004,scan user_profiles
2005,scan college order by enr desc limit 3
2006,scan college order by enr desc limit 3
2007,scan student_course_registrations
2008,scan railway
2009,scan train
2010,scan railway
2011,scan student
2012,scan student
2013,scan student
2014,scan company group by headquarters having count ( * )    >=    2
2015,join apartment_bookings.apt_id-apartments.apt_id scan apartments.apt_number
2016,join apartment_bookings.apt_id-apartments.apt_id scan apartments.apt_number
2017,join apartment_bookings.apt_id-apartments.apt_id scan apartments.apt_number
2018,scan candidate
2019,scan people
2020,scan employee
2021,scan employee
2022,scan employee
2023,scan people order by height desc limit 1
2024,scan faculty
2025,scan order_items order by order_quantity limit 1
2026,scan products
2027,scan order_items
2028,scan products
2029,scan products
2030,scan drivers
2031,scan building
2032,scan building
2033,scan building
2034,scan building
2035,scan people group by birth_place order by count ( * )  desc limit 1
2036,scan people
2037,scan people group by birth_place order by count ( * )  limit 1
2038,scan people group by birth_place order by count ( * )  desc limit 1
2039,scan people
2040,scan people
2041,scan people
2042,scan people
2043,scan country
2044,scan roller_coaster
2045,scan branch
2046,scan branch
2047,scan film
2048,scan film
2049,join film.film_id-film.film_id
2050,scan rooms order by baseprice asc limit 1
2051,scan rooms order by baseprice desc limit 1
2052,scan rooms
2053,scan rooms order by maxoccupancy desc limit 1
2054,scan music_festival group by result order by count ( * )  desc
2055,scan has_allergy
2056,join has_allergy.stuid-student.stuid scan has_allergy.allergy
2057,scan party_events group by member_in_charge_id order by count ( * )  desc limit 1
2058,scan market
2059,scan market
2060,scan market
2061,scan market
2062,scan list
2063,scan list
2064,scan products
2065,scan characteristics
2066,scan customers_policies
2067,scan club
2068,scan club
2069,scan member_of_club
2070,join club.clubid-member_of_club.clubid join member_of_club.stuid-student.stuid scan club.clubname
2071,scan representative group by party having count ( * )    >=    2
2072,scan representative group by party having count ( * )    >=    3
2073,scan order_items group by product_id having count ( * )    >=    4
2074,scan product_suppliers
2075,scan match_season
2076,scan match_season
2077,scan match_season
2078,scan match_season
2079,scan rental
2080,join sportsinfo.stuid-student.stuid scan student.age
2081,join sportsinfo.stuid-student.stuid scan student.age
2082,scan sportsinfo
2083,scan faculty
2084,scan faculty_participates_in
2085,scan faculty
2086,scan wine
2087,scan wine
2088,scan appellations
2089,scan wine
2090,scan wine
2091,scan wine
2092,scan representative
2093,scan representative
2094,scan representative
2095,scan film
2096,scan film
2097,scan film
2098,scan film
2099,scan apartments order by bedroom_count desc limit 1
2100,scan apartments order by bedroom_count  limit 1
2101,scan apartments order by bathroom_count desc  limit 1
2102,scan apartments order by bathroom_count desc limit 1
2103,scan employees
2104,scan branch
2105,scan branch  order by membership_amount desc limit  1
2106,scan branch
2107,scan products
2108,scan apartment_buildings
2109,join apartment_buildings.building_id-apartments.building_id scan apartment_buildings.building_manager
2110,scan apartments
2111,join apartment_buildings.building_id-apartments.building_id scan apartment_buildings.building_manager
2112,join apartment_buildings.building_id-apartments.building_id scan apartment_buildings.building_manager
2113,join student.stuid-voting_record.vice_president_vote scan student.age
2114,join student.stuid-voting_record.president_vote
2115,scan voting_record
2116,join student.stuid-voting_record.president_vote scan student.sex
2117,scan products
2118,scan screen_mode
2119,scan screen_mode
